,Airport_name,City,Country,IATA,ICAO,Latitude,Longitude,Altitude,Timezone,DST,Tz,Type,Source,Attraction_html
1146,Palermo-Boccadifalco Airport,Palermo,Italy,\N,LICP,38.110802,13.3133,345,1,E,Europe/Rome,airport,OurAirports,https://www.tripadvisor.com/Attractions-g187890-Activities-Palermo_Province_of_Palermo_Sicily.html
1147,Vincenzo Florio Airport Trapani-Birgi,Trapani,Italy,TPS,LICT,37.9114,12.488,25,1,E,Europe/Rome,airport,OurAirports,https://www.tripadvisor.com/Attractions-g494955-Activities-Trapani_Province_of_Trapani_Sicily.html
1148,Alghero-Fertilia Airport,Alghero,Italy,AHO,LIEA,40.632099,8.29077,87,1,E,Europe/Rome,airport,OurAirports,https://www.tripadvisor.com/Attractions-g187880-Activities-Alghero_Province_of_Sassari_Sardinia.html
1149,Decimomannu Air Base,Decimomannu,Italy,DCI,LIED,39.354198,8.972480000000001,100,1,E,Europe/Rome,airport,OurAirports,https://www.tripadvisor.com/Attractions-g1202572-Activities-Decimomannu_Province_of_Cagliari_Sardinia.html
1150,Cagliari Elmas Airport,Cagliari,Italy,CAG,LIEE,39.251499,9.05428,13,1,E,Europe/Rome,airport,OurAirports,https://www.tripadvisor.com/Attractions-g187881-Activities-Cagliari_Province_of_Cagliari_Sardinia.html
1151,Olbia Costa Smeralda Airport,Olbia,Italy,OLB,LIEO,40.898701,9.51763,37,1,E,Europe/Rome,airport,OurAirports,https://www.tripadvisor.com/Attractions-g187883-Activities-Olbia_Province_of_Olbia_Tempio_Sardinia.html
1152,Tortolì Airport,Tortoli,Italy,TTB,LIET,39.9188,9.68298,23,1,E,Europe/Rome,airport,OurAirports,https://www.tripadvisor.com/Attractions-g608926-Activities-Tortoli_Province_of_Ogliastra_Sardinia.html
1153,Torino-Aeritalia Airport,Turin,Italy,\N,LIMA,45.086399,7.60337,943,1,E,Europe/Rome,airport,OurAirports,https://www.tripadvisor.com/Attractions-g187855-Activities-Turin_Province_of_Turin_Piedmont.html
1154,Milano-Bresso Airport,Milano,Italy,\N,LIMB,45.542198,9.203330000000001,484,1,E,Europe/Rome,airport,OurAirports,https://www.tripadvisor.com/Attractions-g187849-Activities-Milan_Lombardy.html
1155,Malpensa International Airport,Milano,Italy,MXP,LIMC,45.6306,8.728110000000001,768,1,E,Europe/Rome,airport,OurAirports,https://www.tripadvisor.com/Attractions-g187849-Activities-Milan_Lombardy.html
1156,Il Caravaggio International Airport,Bergamo,Italy,BGY,LIME,45.673901,9.70417,782,1,E,Europe/Rome,airport,OurAirports,https://www.tripadvisor.com/Attractions-g187830-Activities-Bergamo_Province_of_Bergamo_Lombardy.html
1157,Turin Airport,Torino,Italy,TRN,LIMF,45.200802,7.64963,989,1,E,Europe/Rome,airport,OurAirports,https://www.tripadvisor.com/Attractions-g187855-Activities-Turin_Province_of_Turin_Piedmont.html
1158,Villanova D'Albenga International Airport,Albenga,Italy,ALL,LIMG,44.050598,8.12743,148,1,E,Europe/Rome,airport,OurAirports,https://www.tripadvisor.com/Attractions-g194666-Activities-Albenga_Italian_Riviera_Liguria.html
